book name,book price,book stock
A Light in the Attic,£51.77,In stock (22 available)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock (19 available)
Tipping the Velvet,£53.74,In stock (20 available)
Soumission,£50.10,In stock (20 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock (19 available)
Sharp Objects,£47.82,In stock (20 available)
The Requiem Red,£22.65,In stock (19 available)
Sapiens: A Brief History of Humankind,£54.23,In stock (20 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock (19 available)
The Black Maria,£52.15,In stock (19 available)
Shakespeare's Sonnets,£20.66,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available)
Set Me Free,£17.46,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock (19 available)
It's Only the Himalayas,£45.17,In stock (19 available)
Libertarianism for Beginners,£51.33,In stock (19 available)
Rip it Up and Start Again,£35.02,In stock (19 available)
Olio,£23.88,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available)
Chase Me (Paris Nights #2),£25.27,In stock (19 available)
How Music Works,£37.32,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock (19 available)
Aladdin and His Wonderful Lamp,£53.13,In stock (19 available)
Black Dust,£34.53,In stock (19 available)
Birdsong: A Story in Pictures,£54.64,In stock (19 available)
In Her Wake,£12.84,In stock (19 available)
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In stock (18 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock (18 available)
Wall and Piece,£44.18,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock (18 available)
Sophie's World,£15.94,In stock (18 available)
The Elephant Tree,£23.82,In stock (18 available)
The Bear and the Piano,£36.89,In stock (18 available)
The Nicomachean Ethics,£36.34,In stock (1 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock (19 available)
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,In stock (7 available)
Critique of Pure Reason,£20.75,In stock (5 available)
Meditations,£25.89,In stock (1 available)
Rework,£44.88,In stock (3 available)
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,In stock (2 available)
Beyond Good and Evil,£43.38,In stock (1 available)
The Travelers,£15.77,In stock (3 available)
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,In stock (5 available)
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,In stock (4 available)
Far From True (Promise Falls Trilogy #2),£34.93,In stock (4 available)
The Story of Hong Gildong,£43.19,In stock (1 available)
When We Collided,£31.77,In stock (16 available)
Kierkegaard: A Christian Missionary to Christians,£47.13,In stock (8 available)
The Little Prince,£45.42,In stock (1 available)
The Stranger,£17.44,In stock (15 available)
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,In stock (8 available)
The Death of Humanity: and the Case for Life,£58.11,In stock (16 available)
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,In stock (15 available)
Leave This Song Behind: Teen Poetry at Its Best,£51.17,In stock (7 available)
Sense and Sensibility,£37.46,In stock (1 available)
The 14th Colony (Cotton Malone #11),£39.24,In stock (14 available)
Of Mice and Men,£47.11,In stock (1 available)
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,In stock (12 available)
The Guilty (Will Robie #4),£13.82,In stock (14 available)
Wuthering Heights,£17.73,In stock (3 available)
Animal Farm,£57.22,In stock (4 available)
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,In stock (3 available)
Beowulf,£38.35,In stock (3 available)
"Chronicles, Vol. 1",£52.60,In stock (7 available)
And Then There Were None,£35.01,In stock (3 available)
Love Is a Mix Tape (Music #1),£18.03,In stock (14 available)
The Picture of Dorian Gray,£29.70,In stock (3 available)
salt.,£46.78,In stock (14 available)
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,In stock (8 available)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,In stock (16 available)
Les Fleurs du Mal,£29.04,In stock (8 available)
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,In stock (14 available)
Out of Print: City Lights Spotlight No. 14,£53.64,In stock (8 available)
You (You #1),£43.61,In stock (14 available)
Please Kill Me: The Uncensored Oral History of Punk,£31.19,In stock (8 available)
The Pilgrim's Progress,£50.26,In stock (4 available)
Night Sky with Exit Wounds,£41.05,In stock (15 available)
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,In stock (4 available)
Little Women (Little Women #1),£28.07,In stock (4 available)
Candide,£58.63,In stock (4 available)
If I Run (If I Run #1),£49.97,In stock (3 available)
Poems That Make Grown Women Cry,£14.19,In stock (15 available)
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,In stock (15 available)
Gone with the Wind,£32.49,In stock (4 available)
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,In stock (14 available)
Howl and Other Poems,£40.45,In stock (8 available)
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,In stock (15 available)
Counted With the Stars (Out from Egypt #1),£17.97,In stock (7 available)
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,In stock (15 available)
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock (16 available)
The Past Never Ends,£56.50,In stock (16 available)
